"uid","sex","age","question_de","PA_08","PA_02","PA_09","PA_06","PA_01","MT_07","MT_04","MT_02","MT_05","MT_01","PA_04","MT_03","MT_06","PA_07","PA_03","PA_05","PA_sum","PA_mean","MT_sum","MT_mean","GM_sum","GM_mean"
13,2,38,"Meistens weiß ich, ob ich ein Lied zum ersten Mal höre.",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"Ich kann ___ verschiedene Instrumente  (einschließlich Gesang) spielen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"Ich habe regelmäßig und täglich ein Instrument (einschließlich Gesang) für ___ Jahre geübt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"Ich kann beurteilen, ob jemand gut singt oder nicht.",NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"Ich kann beurteilen, ob jemand falsch oder richtig singt oder spielt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"Ich habe ___ Jahre Musikunterricht auf einem Instrument (einschließlich Gesang) in meinem bisherigen Leben gehabt.",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"Ich würde mich selbst nicht als Musiker/-in bezeichnen",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"Ich kann zwei Interpretationen oder Versionen desselben Musikstücks miteinder vergleichen und über die Unterschiede diskutieren.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"Wenn ich singe, habe ich keine Ahnung, ob ich richtig oder falsch singe.",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"An dem Höhepunkt meines Interesses habe ich mein Hauptinstrument ___ Stunden pro Tag geübt.",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
13,2,38,"Ich kann beurteilen, ob jemand nicht im Rhythmus mit der Musik singt oder spielt.",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4.77777777777778,12,1.71428571428571,NA,2.42857142857143
